# Block,TrialType,Arrow,Response,leftSSD,rightSSD,ACC,RT
   1,   0,   2,   0, 200, 200,  -1,   0
   1,   0,   2,   2, 200, 200,   1, 305
   1,   0,   2,   2, 200, 200,   1, 406
   1,   1,   2,   2, 200, 150,   4,  82
   1,   0,   2,   2, 200, 150,   1, 320
   1,   0,   2,   2, 200, 150,   1, 300
   1,   0,   2,   2, 200, 150,   1, 386
   1,   0,   2,   2, 200, 150,   1, 290
   1,   1,   2,   2, 200, 100,   4, 122
   1,   1,   2,   0, 200, 150,   3,   0
   2,   0,   2,   2, 200, 150,   1, 337
   2,   0,   2,   2, 200, 150,   1, 445
   2,   0,   2,   2, 200, 150,   1, 293
   2,   0,   2,   2, 200, 150,   1, 277
   2,   1,   2,   2, 200, 100,   4, 111
   2,   0,   2,   2, 200, 100,   1, 290
   2,   0,   2,   2, 200, 100,   1, 311
   2,   1,   2,   2, 200,  50,   4, 146
   2,   0,   2,   2, 200,  50,   1, 654
   2,   1,   2,   2, 200,   0,   4, 274
# 102,18,Male,Caucasian
